Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;AURAY;87476200;ST MICHEL VALLOIRE;87742361;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;LILLE EUROPE;87223263;SAVENAY;87481838;1;Tarif Avantage;35.0;112.0
TGV INOUI;LYON PERRACHE;87722025;NEUFCHATEAU;87141291;1;Tarif Normal;24.5;112.0
TGV INOUI;BOURG ST MAURICE;87741793;VANNES;87476606;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;LYON PART DIEU;87723197;TOULON;87755009;1;Tarif Réglementé;112.09;112.09
TGV INOUI;MACON VILLE;87725689;TOUL;87141044;1;Tarif Normal;24.5;112.0
TGV INOUI;CLUSES  74;87746370;AURAY;87476200;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;LYON PERRACHE;87722025;TOULON;87755009;1;Tarif Réglementé;112.09;112.09
TGV INOUI;LYON PART DIEU;87723197;NARBONNE;87781104;1;Tarif Réglementé;112.09;112.09
TGV INOUI;LAVAL;87478404;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;VENDOME VILLIERS SUR LOIR;87571216;DOUAI;87345009;1;Tarif Avantage;20.5;113.0
TGV INOUI;MACON LOCHE TGV;87725705;LES ARCS DRAGUIGNAN;87755447;1;Tarif Réglementé;112.09;112.09
TGV INOUI;LORIENT;87476002;AIME LA PLAGNE;87741769;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;CULOZ;87741074;PARIS GARE DE LYON;87686006;1;Tarif Avantage;21.5;113.0
TGV INOUI;AGDE;87781278;BEAUNE;87713545;1;Tarif Avantage;17.0;113.0
TGV INOUI;MOUTIERS SALINS BRIDES L BAINS;87741728;VANNES;87476606;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;AVIGNON CENTRE;87765008;MENTON;87756486;1;Tarif Normal;29.5;113.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;THIONVILLE;87191007;1;Tarif Avantage;17.0;113.0
TGV INOUI;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;CHATELLERAULT;87575142;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;RIVES;87747246;MARNE LA VALLEE CHESSY;87111849;1;Tarif Avantage;31.0;113.0
TGV INOUI;BORDEAUX ST JEAN;87581009;VENDOME VILLIERS SUR LOIR;87571216;1;Tarif Avantage;20.5;113.0
TGV INOUI;POITIERS;87575001;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;LE MANS;87396002;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17.0;114.0
TGV INOUI;STRASBOURG;87212027;BOURG EN BRESSE;87743005;1;Tarif Normal;24.5;113.0
TGV INOUI;VANNES;87476606;ST GERVAIS LES BAINS LE FAYET;87746479;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;STRASBOURG;87212027;LANDRY;87741777;1;Tarif Avantage;21.5;114.0
TGV INOUI;AVIGNON CENTRE;87765008;NICE VILLE;87756056;1;Tarif Normal;29.5;113.0
TGV INOUI;VANNES;87476606;ST MICHEL VALLOIRE;87742361;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;CHALON SUR SAONE;87725002;THIONVILLE;87191007;1;Tarif Réglementé;114.22;114.22
TGV INOUI;HENDAYE;87677005;ANGOULEME;87583005;1;Tarif Normal;29.5;113.0
TGV INOUI;MODANE;87742007;CHAMBERY CHALLES LES EAUX;87741009;2;Tarif Avantage;6.3;17.5
TGV INOUI;LANDRY;87741777;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Réglementé;114.22;114.22
TGV INOUI;ORTHEZ;87672253;POITIERS;87575001;1;Tarif Normal;29.5;113.0
TGV INOUI;LES SABLES D'OLONNE;87486449;NANTES;87481002;2;Tarif Avantage;6.4;17.5
TGV INOUI;LIMOGES BENEDICTINS;87592006;MARNE LA VALLEE CHESSY;87111849;1;Tarif Réglementé;114.22;114.22
TGV INOUI;AVIGNON CENTRE;87765008;CHALON SUR SAONE;87725002;1;Tarif Normal;34.0;113.0
TGV INOUI;LYON PART DIEU;87723197;BOURG EN BRESSE;87743005;2;Tarif Normal;7.1;17.5
TGV INOUI;LYON PERRACHE;87722025;SELESTAT;87214056;1;Tarif Réglementé;114.22;114.22
TGV INOUI;MASSY TGV;87393702;SABLE SUR SARTHE;87396408;1;Tarif Réglementé;113.21;113.21
TGV INOUI;LYON PERRACHE;87722025;BOURG EN BRESSE;87743005;2;Tarif Normal;7.1;17.5
TGV INOUI;MASSY TGV;87393702;ANCENIS;87481192;1;Tarif Réglementé;114.22;114.22
TGV INOUI;NICE VILLE;87756056;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Réglementé;113.21;113.21
TGV INOUI;ANGERS ST LAUD;87484006;ST PIERRE DES CORPS;87571240;2;Tarif Avantage;7.8;17.5
